group,sample_count,mean_confidence,mean_confidence_correct,accuracy
overall,160,0.7462978363037109,0.7014688849449158,0.46875
Alternaria alternata,0,,,
Alternaria solani,27,0.8503627181053162,0.8503627181053162,1.0
Botrytis cinerea,48,0.9069803357124329,0.7215214967727661,0.3333333333333333
Fusarium oxysporum,85,0.6225035786628723,0.5658136606216431,0.3764705882352941
Healthy,0,,,
