,precision,recall,f1-score,support
Alternaria alternata,0.0,0.0,0.0,32.0
Alternaria solani,1.0,0.84375,0.9152542372881356,32.0
Botrytis cinerea,0.3333333333333333,0.5,0.4,32.0
Fusarium oxysporum,0.3764705882352941,1.0,0.5470085470085471,32.0
Healthy,0.0,0.0,0.0,32.0
accuracy,0.46875,0.46875,0.46875,0.46875
macro avg,0.34196078431372545,0.46875,0.37245255685933654,160.0
weighted avg,0.34196078431372545,0.46875,0.37245255685933654,160.0
