,precision,recall,f1-score,support
Alternaria alternata,0.0,0.0,0.0,32.0
Alternaria solani,1.0,0.0625,0.11764705882352941,32.0
Botrytis cinerea,0.3815789473684211,0.90625,0.5370370370370371,32.0
Fusarium oxysporum,0.0,0.0,0.0,32.0
Healthy,0.0,0.0,0.0,32.0
accuracy,0.19375,0.19375,0.19375,0.19375
macro avg,0.2763157894736842,0.19375,0.1309368191721133,160.0
weighted avg,0.2763157894736842,0.19375,0.1309368191721133,160.0
