group,sample_count,mean_confidence,mean_confidence_correct,accuracy
overall,160,0.44406285881996155,0.40955886244773865,0.19375
Alternaria alternata,64,0.3987937569618225,,0.0
Alternaria solani,2,0.3470556437969208,0.3470556437969208,1.0
Botrytis cinerea,76,0.506569504737854,0.4138694405555725,0.3815789473684211
Fusarium oxysporum,18,0.3518814146518707,,0.0
Healthy,0,,,
