group,sample_count,mean_confidence,mean_confidence_correct,accuracy
overall,160,0.3938741087913513,0.360395610332489,0.35625
Alternaria alternata,0,,,
Alternaria solani,3,0.3608701229095459,0.3608701229095459,1.0
Botrytis cinerea,78,0.44562003016471863,0.4023061990737915,0.28205128205128205
Fusarium oxysporum,15,0.3973613679409027,,0.0
Healthy,64,0.3315385580062866,0.3315375745296478,0.5
