,precision,recall,f1-score,support
Alternaria alternata,0.0,0.0,0.0,32.0
Alternaria solani,1.0,0.09375,0.17142857142857143,32.0
Botrytis cinerea,0.28205128205128205,0.6875,0.4,32.0
Fusarium oxysporum,0.0,0.0,0.0,32.0
Healthy,0.5,1.0,0.6666666666666666,32.0
accuracy,0.35625,0.35625,0.35625,0.35625
macro avg,0.35641025641025637,0.35625,0.24761904761904763,160.0
weighted avg,0.35641025641025637,0.35625,0.24761904761904763,160.0
