accuracy,loss,val_accuracy,val_loss,learning_rate
0.22604165971279144,1.5593879222869873,0.41874998807907104,1.2711950540542603,0.0010000000474974513
0.3864583373069763,1.1870310306549072,0.4000000059604645,1.368647575378418,0.0010000000474974513
0.4000000059604645,1.0824027061462402,0.32499998807907104,1.299318790435791,0.0010000000474974513
0.4364583194255829,1.0659806728363037,0.39375001192092896,1.2327359914779663,0.0010000000474974513
0.44479167461395264,1.037045955657959,0.38749998807907104,1.5153532028198242,0.0010000000474974513
0.4479166567325592,1.0263872146606445,0.32499998807907104,1.3915026187896729,0.0010000000474974513
0.4677083194255829,0.9928198456764221,0.4000000059604645,1.541933298110962,0.0010000000474974513
0.5072916746139526,0.9582569003105164,0.3125,1.410986304283142,0.0005000000237487257
0.5093749761581421,0.9304766058921814,0.3062500059604645,1.4426305294036865,0.0005000000237487257
0.5260416865348816,0.9138719439506531,0.3375000059604645,1.5131582021713257,0.0005000000237487257
0.5427083373069763,0.9023362994194031,0.32499998807907104,1.4378089904785156,0.0002500000118743628
