,Alternaria alternata,Alternaria solani,Botrytis cinerea,Fusarium oxysporum,Healthy
Alternaria alternata,0,30,2,0,0
Alternaria solani,0,0,32,0,0
Botrytis cinerea,0,3,27,2,0
Fusarium oxysporum,17,0,0,0,15
Healthy,22,0,0,0,10
