model,accuracy,precision_macro,recall_macro,f1_macro,mean_confidence
Shared-PCA 3D-CNN,0.46875,0.3419607843137254,0.46875,0.3724525568593365,0.7462978363037109
Shared-PCA ViT,0.33125,0.2521303258145363,0.33125,0.2824752641287942,0.4402718544006347
Shared-PCA Hybrid,0.2,0.0666666666666666,0.2,0.1,0.3122790455818176
Shared-PCA Augmented 3D-CNN,0.19375,0.2763157894736842,0.19375,0.1309368191721133,0.4440628588199615
