accuracy,loss,val_accuracy,val_loss,learning_rate
0.36250001192092896,1.5412883758544922,0.20000000298023224,2.2726943492889404,0.0005000000237487257
0.41354167461395264,1.3254426717758179,0.20000000298023224,3.1810193061828613,0.0005000000237487257
0.41979166865348816,1.308456540107727,0.3375000059604645,3.4295763969421387,0.0005000000237487257
0.43437498807907104,1.2281320095062256,0.35624998807907104,1.3591058254241943,0.0005000000237487257
0.45625001192092896,1.1233181953430176,0.30000001192092896,1.4243474006652832,0.0005000000237487257
0.4885416626930237,1.1113255023956299,0.3125,1.424781084060669,0.0005000000237487257
0.5062500238418579,1.0743507146835327,0.42500001192092896,1.8935848474502563,0.0005000000237487257
0.49270832538604736,1.0726807117462158,0.19374999403953552,3.284261703491211,0.0005000000237487257
0.5322916507720947,1.0165574550628662,0.29374998807907104,1.346465826034546,0.0002500000118743628
0.574999988079071,0.9443367719650269,0.26249998807907104,2.4059133529663086,0.0002500000118743628
0.6166666746139526,0.8994565606117249,0.17499999701976776,3.797497272491455,0.0002500000118743628
0.612500011920929,0.8695918321609497,0.33125001192092896,1.8348281383514404,0.0002500000118743628
0.6499999761581421,0.8353673815727234,0.3499999940395355,1.943411111831665,0.0002500000118743628
0.6781250238418579,0.7302817106246948,0.41874998807907104,1.3777587413787842,0.0001250000059371814
0.7260416746139526,0.6681874990463257,0.39375001192092896,1.5150809288024902,0.0001250000059371814
0.7333333492279053,0.6360693573951721,0.45625001192092896,1.6940902471542358,0.0001250000059371814
0.7479166388511658,0.5873523950576782,0.41874998807907104,1.798845648765564,0.0001250000059371814
0.7562500238418579,0.578601062297821,0.4437499940395355,1.4475438594818115,6.25000029685907e-05
0.753125011920929,0.5685684084892273,0.5249999761581421,1.578391432762146,6.25000029685907e-05
