accuracy,loss,val_accuracy,val_loss,learning_rate
0.36770832538604736,1.495292067527771,0.5625,1.488741159439087,0.0003000000142492354
0.41458332538604736,1.2176933288574219,0.4312500059604645,1.311303973197937,0.0003000000142492354
0.48750001192092896,1.1098066568374634,0.518750011920929,1.171934723854065,0.0003000000142492354
0.5718749761581421,0.9607298374176025,0.46875,1.031325101852417,0.0003000000142492354
0.590624988079071,0.8184783458709717,0.48124998807907104,1.0845487117767334,0.0003000000142492354
0.6354166865348816,0.7597362995147705,0.5249999761581421,1.0155603885650635,0.0003000000142492354
0.6510416865348816,0.6998640894889832,0.5249999761581421,0.9851676225662231,0.0003000000142492354
0.6770833134651184,0.6713382601737976,0.5625,0.9323738217353821,0.0003000000142492354
0.690625011920929,0.6314969658851624,0.5375000238418579,0.9042990803718567,0.0003000000142492354
0.7083333134651184,0.5985279083251953,0.5249999761581421,1.031911849975586,0.0003000000142492354
0.675000011920929,0.6702226996421814,0.53125,0.9281320571899414,0.0003000000142492354
0.7145833373069763,0.5649112462997437,0.5249999761581421,0.9789161682128906,0.0003000000142492354
0.7364583611488342,0.5388802886009216,0.550000011920929,0.9187045097351074,0.0001500000071246177
0.7395833134651184,0.5155850052833557,0.543749988079071,0.9193728566169739,0.0001500000071246177
0.7416666746139526,0.5105530023574829,0.518750011920929,1.012249231338501,0.0001500000071246177
0.7406250238418579,0.49343666434288025,0.5249999761581421,1.0190221071243286,7.500000356230885e-05
0.7552083134651184,0.5056272149085999,0.512499988079071,1.036516547203064,7.500000356230885e-05
