,precision,recall,f1-score,support
Alternaria alternata,0.0,0.0,0.0,32.0
Alternaria solani,0.0,0.0,0.0,32.0
Botrytis cinerea,0.4426229508196721,0.84375,0.5806451612903226,32.0
Fusarium oxysporum,0.0,0.0,0.0,32.0
Healthy,0.4,0.3125,0.3508771929824561,32.0
accuracy,0.23125,0.23125,0.23125,0.23125
macro avg,0.16852459016393442,0.23125,0.18630447085455576,160.0
weighted avg,0.16852459016393442,0.23125,0.18630447085455576,160.0
