group,sample_count,mean_confidence,mean_confidence_correct,accuracy
overall,160,0.44027185440063477,0.3575765788555145,0.33125
Alternaria alternata,64,0.5316144227981567,,0.0
Alternaria solani,35,0.35166066884994507,0.3535659909248352,0.8571428571428571
Botrytis cinerea,57,0.3996398448944092,0.3628077805042267,0.40350877192982454
Fusarium oxysporum,4,0.3331455886363983,,0.0
Healthy,0,,,
