,precision,recall,f1-score,support
Alternaria alternata,0.0,0.0,0.0,32.0
Alternaria solani,0.8571428571428571,0.9375,0.8955223880597015,32.0
Botrytis cinerea,0.40350877192982454,0.71875,0.5168539325842697,32.0
Fusarium oxysporum,0.0,0.0,0.0,32.0
Healthy,0.0,0.0,0.0,32.0
accuracy,0.33125,0.33125,0.33125,0.33125
macro avg,0.2521303258145363,0.33125,0.28247526412879426,160.0
weighted avg,0.2521303258145363,0.33125,0.28247526412879426,160.0
